MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.62,4,4.962933118,1.216760677,2649,2.134568896,37.69,-121.89,1.393
2.2827,48,5.049586777,1.090909091,947,2.608815427,35.36,-119.02,0.7
3.29,32,4.281675393,1.020942408,3775,3.952879581,34.07,-118.08,2.055
2.5455,32,3.878787879,1.038961039,548,2.372294372,35.28,-120.65,1.659
4.2132,36,5.347826087,0.99378882,794,2.465838509,34.11,-118.01,2.122
2.7457,37,5.632727273,1.094545455,863,3.138181818,38.16,-122.41,2.547
2.7138,8,6.931897151,1.211257818,6835,4.749826268,35.43,-116.57,0.225
2.2429,26,3.460820896,1.031716418,1109,2.069029851,34.1,-117.66,1.5
3.1389,35,4.813895782,0.952853598,1177,2.920595533,38.25,-122.03,1.011
2,44,4.760479042,1.083832335,716,4.28742515,33.94,-118.26,0.903
3.1349,29,4.321937322,1.042735043,1776,2.52991453,34.27,-118.33,2.302
1.2206,20,3.946540881,1.132075472,1201,3.77672956,33.79,-118.18,1.625
2.5972,29,4.037974684,0.89556962,1216,3.848101266,34.08,-117.71,1.343
4.5221,16,6.125,1.159090909,667,2.526515152,37.22,-121.77,1.911
8.401,26,7.530805687,1.056872038,542,2.568720379,37.83,-122.2,3.512
1.7961,35,4.081850534,1.03202847,818,2.911032028,34.01,-118.3,1.117
4.1378,24,4.582306831,1,2819,3.156774916,33.83,-118.29,2.165
1.8125,45,2.541284404,0.981651376,888,4.073394495,34.03,-118.22,1.396
3.1814,28,5.67781155,1.063829787,898,2.729483283,36.83,-119.69,0.789
3.1779,17,4.787356322,1.084291188,781,1.496168582,33.61,-117.75,1.865
7.3028,45,6.849180328,1.02295082,834,2.73442623,34.04,-118.39,5.00001
3.3616,35,5.889328063,1,705,2.786561265,34.15,-117.27,0.953
3.625,25,5.405172414,1.037715517,2133,2.298491379,36.82,-119.78,0.895
2.9125,21,5.240963855,1.156626506,219,2.638554217,37.76,-120.83,1.125
5.7709,4,5.18134715,1.093264249,833,2.158031088,33.65,-117.58,1.903
1.9386,33,4.384418902,1.002554278,1806,2.30651341,36.79,-119.79,0.675
10.3953,8,8.225071225,1,1176,3.35042735,33.58,-117.69,5.00001
7.866,36,6.656957929,1.064724919,658,2.129449838,33.56,-117.79,5.00001
4.6694,28,6.181425486,1.032397408,1384,2.989200864,34.89,-120.43,1.582
4.0631,9,5.677859391,1.04616999,6241,3.274396642,35.3,-119.05,0.882
2.9821,31,5.936619718,1.204225352,1504,3.530516432,33.92,-117.5,1.156
3.1771,52,4.827906977,1.023255814,482,2.241860465,37.77,-122.25,2.102
1.0625,20,4.546511628,1.011627907,523,2.027131783,39.75,-121.62,0.928
5.5106,10,5.789976134,1.016706444,966,2.30548926,34.6,-120.12,2.909
1.8438,35,4.623853211,1.155963303,323,2.963302752,37.74,-122.18,0.905
1.8641,43,3.577996716,1.119868637,2624,4.308702791,34.01,-118.26,1.082
3.8611,32,5.132978723,0.973404255,568,3.021276596,38.7,-121.46,0.939
5.0814,25,5.294043093,1.054499366,2123,2.690747782,33.8,-118.34,4.468
2.2311,52,2.879120879,0.989010989,756,2.769230769,34.1,-118.32,2.063
2.8711,48,4.419700214,1.03640257,1055,2.259100642,37.76,-122.47,3.296
3.9643,46,5.526315789,1.052631579,69,3.631578947,34,-118.41,2.75
4.7143,17,6.466666667,1.064646465,1244,2.513131313,38.46,-122.68,2.029
2.9624,16,4.414079823,1.042682927,3769,2.08924612,32.77,-117.04,1.447
3.9219,35,4.769480519,0.993506494,1285,4.172077922,34.03,-117.92,1.595
2.4003,14,5.058925477,1.197573657,1896,3.285961872,35.1,-120.61,1.421
3.567,52,4.550632911,1.025316456,1340,2.120253165,37.76,-122.25,2.529
6.5474,29,7.090909091,0.989304813,586,3.13368984,34.19,-118.86,4.229
5.0956,21,5.808917197,1.041401274,2266,3.608280255,33.7,-117.87,2.46
2.1542,27,3.182142857,1,1785,3.1875,32.66,-117.1,1.063
6.2513,14,6.244623656,1.002688172,1057,2.841397849,33.05,-117.26,2.409
10.6605,50,7.379464286,1.125,641,2.861607143,37.73,-122.47,5.00001
1.775,44,4.299270073,0.948905109,504,3.678832117,34.1,-117.3,0.634
4.6635,28,6.417266187,1.118705036,735,2.643884892,37.64,-122.1,2.067
4.3125,52,4.242424242,1.019283747,1136,3.129476584,37.74,-122.42,2.43
3.1667,36,5.560640732,0.974828375,1199,2.743707094,38.53,-121.43,0.819
3.3534,26,6.087096774,1.15483871,1913,3.085483871,34.13,-117.24,0.989
1.7167,24,5.4,1.273170732,768,3.746341463,39.1,-121.59,0.488
6.5954,17,7.683018868,1.026415094,713,2.690566038,33.44,-117.61,3.462
5.0206,8,6.5,0.986206897,835,2.879310345,34.95,-120.4,2.61
4.6727,5,5.395330739,1.020233463,3845,2.992217899,34.02,-117.57,1.589
4.4821,33,6.224637681,1.043478261,421,3.050724638,34.15,-117.94,2.201
2.2917,34,4.367857143,1.003571429,824,2.942857143,37.74,-122.17,0.925
1.7875,18,5.270440252,1.044025157,733,2.305031447,39.76,-121.58,1.038
3.1591,19,6.452132701,1.103317536,2703,2.562085308,33.71,-116.91,1.897
1.4625,43,5.144,1.16,2400,3.84,38.53,-121.47,0.544
2.125,17,16.8125,4.421875,171,2.671875,39.4,-120.09,0.839
2.1827,52,4.344230769,1.032692308,957,1.840384615,38.45,-122.71,1.888
2.6637,14,3.925438596,1.078947368,1933,2.119517544,35.34,-119.05,1.75
1.9643,32,3.882249561,1.149384886,1718,3.019332162,34.06,-117.72,1.132
5.5124,34,3.915662651,0.722891566,433,5.21686747,34.26,-118.44,1.743
2.2813,21,5.207272727,1.032727273,862,3.134545455,39.42,-121.71,0.576
2.5326,42,3.930278884,1.015936255,1841,3.667330677,34.01,-118.14,1.565
4.7685,5,4.331352155,1.095096582,3959,1.960871719,37.39,-122.04,2.801
0.76,10,2.651515152,1.054545455,546,1.654545455,37.81,-122.27,1.625
6,34,6.566298343,1,1055,2.914364641,34.23,-118.23,3.671
2.1667,36,6.573099415,1.076023392,504,2.947368421,39.18,-121.43,0.938
2.1635,43,4.533333333,0.995238095,392,1.866666667,32.72,-117.23,2.442
9.5268,13,7.139275766,0.990250696,2429,3.383008357,33.67,-118.07,4.379
3.8824,36,5.156398104,1.09478673,617,2.924170616,33.91,-118.11,1.931
4.9219,35,6.154061625,0.988795518,945,2.647058824,32.82,-117.19,1.929
6.01,43,5.100961538,1,514,2.471153846,34.23,-118.24,2.542
2.48,20,4.645390071,1.078014184,1538,2.181560284,37.69,-121.01,1.356
2.3456,25,4.049309665,1.140039448,1721,3.394477318,33.91,-118.15,1.461
5.7121,27,6.335347432,0.981873112,1217,3.67673716,33.73,-117.97,2.225
1.5208,28,4.425954198,1.152671756,2406,3.673282443,34.1,-117.31,0.695
2.8169,29,4.266558966,1.02907916,2413,3.89822294,33.84,-118,1.651
5.888,13,5.92244898,1.093877551,1125,2.295918367,33.67,-118.01,4.477
3.0859,13,4.497902098,1.06993007,1627,2.275524476,37.95,-121.96,1.678
10.5144,8,7.981052632,1.025263158,1424,2.997894737,36.85,-119.84,3.459
2.4861,36,4.655555556,1.166666667,722,4.011111111,33.88,-117.56,0.962
4.049,19,6.121731289,1.082055906,2325,2.096483318,36.83,-119.81,1.26
2.567,18,5.022556391,1.001879699,1151,2.163533835,39.79,-121.6,1.029
5.3972,30,6.416666667,1.00952381,1098,2.614285714,36.97,-122.04,3.623
1.9038,34,2.341232227,1.134597156,2326,2.204739336,34.06,-118.31,3.25
2.3333,47,4.768786127,1.080924855,416,2.404624277,34,-118.33,1.333
4.517,21,5.749303621,0.95264624,1021,2.844011142,38.03,-121.09,1.522
3.0156,37,4.818740399,1.052227343,2048,3.145929339,37.33,-121.87,2.703
2.4596,35,2.87254902,1.068627451,1741,4.267156863,33.99,-118.19,1.547
2.2278,52,6.220883534,1.104417671,604,2.425702811,39.25,-121.02,1.554
3.6437,17,5.158730159,1.07384403,2092,1.443754313,37.85,-122.06,1.865
3.2462,37,4.191219512,1.062439024,2100,2.048780488,37.97,-122.51,3.294
2.8649,17,4.223300971,1.080097087,1158,2.810679612,33.89,-117.97,1.375
7.0813,30,6.096774194,1.086021505,1197,3.217741935,37.3,-122.08,4.853
1.2679,30,4.607843137,1.034313725,1071,5.25,33.94,-118.24,0.92
2.6979,33,4.075242718,0.980582524,933,2.264563107,34.17,-118.43,2.66
3.7949,13,5.832258065,1.072580645,2189,3.530645161,34.17,-117.33,1.063
5.0062,30,5.715025907,1.116580311,2168,2.808290155,37.27,-121.91,2.32
2.6734,31,3.705229794,1.033280507,3289,5.212361331,33.74,-117.87,1.585
6.887,37,5.91509434,0.896226415,259,2.443396226,33.77,-118.32,5.00001
3.6875,42,5.707865169,0.973782772,651,2.438202247,37.78,-122.17,1.573
2.1165,48,6.898423818,1.506129597,1257,2.201401051,38.53,-122.97,0.987
2.9922,35,4.719844358,1.029182879,2010,3.910505837,33.97,-118.1,1.635
3.5912,52,4.657407407,1.066666667,1209,2.238888889,37.75,-122.41,2.849
3.695,40,4.593548387,0.961290323,533,3.438709677,34.22,-118.39,1.652
4.5125,35,5.363344051,1.067524116,807,2.594855305,34.21,-118.5,2.003
2.6071,16,5.775067751,1.149051491,989,2.680216802,37.38,-119.72,1.037
2.6974,31,4.614906832,1.071428571,823,2.555900621,35.12,-120.61,1.654
4.5766,18,6.088541667,0.96875,614,3.197916667,38.56,-121.32,1.087
1.7756,21,4.904761905,1.037698413,1238,2.456349206,36.07,-119.05,0.629
1.6346,18,5.467532468,1.080519481,974,2.52987013,39.5,-121.62,0.633
2.8837,38,4.240641711,1.032085561,601,3.213903743,33.83,-118.21,1.761
3.0391,20,5.598778004,1.17107943,1195,2.433808554,36.41,-118.86,1.397
2.1284,27,4.420673077,1.0625,2010,4.831730769,37.96,-121.34,0.594
1.6776,32,3.82173913,1.117391304,1057,4.595652174,33.97,-118.25,1.148
4.1939,44,4.936046512,0.990310078,1577,3.05620155,37.71,-122.47,2.379
5.0255,45,6.487394958,1.025210084,614,2.579831933,37.93,-122.07,2.26
3.6292,8,5.593659942,1.060518732,2864,2.751200768,38.45,-122.76,1.836
4.0018,14,3.586055583,1.174061433,3100,1.511457825,37.84,-122.3,1.438
3.775,9,5.552158273,1.095323741,1530,2.751798561,32.68,-117.04,1.25
1.2059,18,2.537037037,1.08974359,1913,2.725071225,33.98,-118.22,2.55
1.9309,31,3.762820513,1.10042735,1810,3.867521368,33.75,-117.86,1.734
4.0647,14,5.279596977,1.057934509,926,2.332493703,38.46,-122.65,1.878
3.6429,28,5.249180328,1.009836066,848,2.780327869,38.69,-121.41,1.052
2.6673,25,3.192039801,1.105472637,2843,2.828855721,34.13,-118.26,2.181
4.2829,30,4.186813187,1.095238095,776,2.842490842,33.89,-118.35,2.4
1.6302,32,3.18287037,1.037037037,1698,3.930555556,34.02,-118.25,1.307
5.7759,5,5.495833333,1.085416667,1179,2.45625,33.67,-117.8,2.4
3.3438,13,3.922297297,0.976351351,630,2.128378378,33.69,-117.8,3.333
6.075,26,6.541984733,1.030534351,778,2.969465649,37.3,-122.04,4.17
4.5461,42,5.629032258,1.072580645,1713,2.762903226,34.16,-118.08,2.424
2.8594,22,4.715214564,1.071521456,1800,2.340702211,32.76,-117.01,1.896
1.6607,16,6.290322581,1.412903226,337,2.174193548,38.99,-122.52,0.778
2.425,17,3.160087719,1.162280702,769,1.686403509,33.89,-117.87,1.717
3.6382,25,7.772189349,1.144970414,1059,3.133136095,34.66,-118.23,1.382
1.9583,25,4.71835443,1.101265823,1183,3.743670886,32.72,-117.11,0.886
2.4932,35,3.717231222,1.103092784,2487,3.662739323,34.12,-118.19,1.677
3.2465,5,4.744376278,1.026584867,1245,2.54601227,39.11,-121.62,0.972
3.6946,17,3.905339806,1.120145631,1701,2.064320388,33.89,-117.88,2.655
3.6,24,5.351648352,0.994505495,1286,3.532967033,34.07,-117.71,1.393
12.2478,10,8.18622449,0.966836735,1199,3.058673469,37.85,-121.96,5.00001
5.0795,36,5.33463035,0.972762646,666,2.591439689,33.81,-118.09,2.433
5.7068,9,5.861561119,1.083946981,1705,2.511045655,37.7,-121.76,2.567
2.7778,8,5.403641882,1.048558422,2156,3.271623672,34.48,-117.18,0.869
